Resort_ID,Month,avg_snow
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 284, 296, 309, 329, 366, 419",2022-05-01,21.26
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 284, 296, 309, 329, 366, 419",2022-06-01,9.45
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 284, 296, 309, 329, 366, 419",2022-09-01,4.33
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 284, 296, 309, 329, 366, 419",2022-10-01,17.72
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 284, 296, 309, 329, 366, 419",2022-11-01,2.76
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 284, 296, 309, 329, 366, 419",2022-12-01,100
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 309, 329, 366, 419",2022-01-01,94.88
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 309, 329, 366, 419",2022-02-01,97.64
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 309, 329, 366, 419",2022-03-01,97.64
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 309, 329, 366, 419",2022-04-01,77.95
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 309, 329, 366, 419",2022-05-01,5.12
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 309, 329, 366, 419",2022-11-01,92.13
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 309, 329, 366, 419",2022-12-01,99.21
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-01-01,100
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-02-01,100
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-03-01,100
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-04-01,100
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-05-01,94.88
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-06-01,47.64
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-07-01,10.24
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-08-01,5.91
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-09-01,46.85
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-10-01,53.15
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-11-01,100
"3, 33, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 141, 176, 201, 236, 249, 258, 309, 331, 406, 479",2022-12-01,100
"3, 33, 42, 43, 44, 101, 108, 110, 113, 119, 141, 176, 201, 249, 258, 294, 309, 330, 331, 406, 479",2022-01-01,96.46
"3, 33, 42, 43, 44, 101, 108, 110, 113, 119, 141, 176, 201, 249, 258, 294, 309, 330, 331, 406, 479",2022-02-01,94.88
"3, 33, 42, 43, 44, 101, 108, 110, 113, 119, 141, 176, 201, 249, 258, 294, 309, 330, 331, 406, 479",2022-03-01,94.88
"3, 33, 42, 43, 44, 101, 108, 110, 113, 119, 141, 176, 201, 249, 258, 294, 309, 330, 331, 406, 479",2022-04-01,60.63
"3, 33, 42, 43, 44, 101, 108, 110, 113, 119, 141, 176, 201, 249, 258, 294, 309, 330, 331, 406, 479",2022-05-01,12.99
"3, 33, 42, 43, 44, 101, 108, 110, 113, 119, 141, 176, 201, 249, 258, 294, 309, 330, 331, 406, 479",2022-11-01,91.34
"3, 33, 42, 43, 44, 101, 108, 110, 113, 119, 141, 176, 201, 249, 258, 294, 309, 330, 331, 406, 479",2022-12-01,96.06
"3, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 201, 236, 249, 258, 309, 428, 440, 443, 449, 470, 492",2022-01-01,94.88
"3, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 201, 236, 249, 258, 309, 428, 440, 443, 449, 470, 492",2022-02-01,99.61
"3, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 201, 236, 249, 258, 309, 428, 440, 443, 449, 470, 492",2022-03-01,100
"3, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 201, 236, 249, 258, 309, 428, 440, 443, 449, 470, 492",2022-04-01,100
"3, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 201, 236, 249, 258, 309, 428, 440, 443, 449, 470, 492",2022-05-01,11.81
"3, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 201, 236, 249, 258, 309, 428, 440, 443, 449, 470, 492",2022-06-01,3.54
"3, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 201, 236, 249, 258, 309, 428, 440, 443, 449, 470, 492",2022-09-01,27.56
"3, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 201, 236, 249, 258, 309, 428, 440, 443, 449, 470, 492",2022-10-01,4.33
"3, 42, 43, 44, 101, 104, 108, 110, 111, 113, 119, 120, 201, 236, 249, 258, 309, 428, 440, 443, 449, 470, 492",2022-11-01,96.06
