"CleanedResort","OriginalResort"
"Fieberbrunn - Saalbach Hinterglemm Leogang Skicircus","Fieberbrunn - Saalbach Hinterglemm Leogang Skicircus"
"Schladming 4-Berge-Skischauke","Schladming 4-Berge-Skischauke"
"Ellmau SkiWelt Wilder Kaiser-Brixental","Ellmau SkiWelt Wilder Kaiser-Brixental"
"Zauchensee","Zauchensee"
"Westendorf SkiWelt Wilder Kaiser-Brixental","Westendorf SkiWelt Wilder Kaiser-Brixental"
"Silvretta Montafon","Silvretta Montafon"
"Zrs Ski Arlberg","Zrs Ski Arlberg"
"Sll SkiWelt Wilder Kaiser-Brixental","Sll SkiWelt Wilder Kaiser-Brixental"
"St Johann in Tirol","St Johann in Tirol"
"St Christoph Ski Arlberg","St Christoph Ski Arlberg"
"Courmayeur Checrouit - Val Veny","Courmayeur Checrouit - Val Veny"
"Sierra Nevada-Pradollano","Sierra Nevada-Pradollano"
"Cortina dAmpezzo","Cortina dAmpezzo"
"Val Senales Glacier","Val Senales Glacier"
"Saas-Fee","Saas-Fee"
"Champoluc Monterosa Ski","Champoluc Monterosa Ski"
"Kronplatz Plan de Corones","Kronplatz Plan de Corones"
"Formigal","Formigal"
"Baqueira Beret","Baqueira Beret"
"Sauze dOulx Via Lattea","Sauze dOulx Via Lattea"
"Cervinia","Cervinia"
"Wasserngrat Gstaad","Wasserngrat Gstaad"
"Wispile Gstaad","Wispile Gstaad"
"Crans-Montana","Crans-Montana"
"Brunni - Engelberg","Brunni - Engelberg"
"Arosa Lenzerheide","Arosa Lenzerheide"
"Verbier 4 Vallees","Verbier 4 Vallees"
"St Moritz - Corviglia","St Moritz - Corviglia"
"Gresse en Vercors","Gresse en Vercors"
"Nendaz 4 Vallees","Nendaz 4 Vallees"
"Villars - Gryon Les Diablerets","Villars - Gryon Les Diablerets"
"Thyon 4 Vallees","Thyon 4 Vallees"
"Veysonnaz 4 Vallees","Veysonnaz 4 Vallees"
"Buchenberg-Buching-Halblech-","Buchenberg-Buching-Halblech-"
"Alpendorf Ski amed","Alpendorf Ski amed"
"Meribel Les 3 Vallees","Meribel Les 3 Vallees"
"Les Menuires Les 3 Vallees","Les Menuires Les 3 Vallees"
"Les Sybelles-Le Corbier-La Toussuire-Les Bottieres-St Colomban des Villards-St Sorlin-St Jean dArves","Les Sybelles-Le Corbier-La Toussuire-Les Bottieres-St Colomban des Villards-St Sorlin-St Jean dArves"
"Le Grand Massif-Flaine-Les Carroz-Morillon-Samoens-Sixt","Le Grand Massif-Flaine-Les Carroz-Morillon-Samoens-Sixt"
"Megeve-Saint-Gervais","Megeve-Saint-Gervais"
"Big Sky Resort","Big Sky Resort"
"Snowmass","Snowmass"
"Soldeu-Pas de la CasaGrau RoigEl TarterCanilloEncamp Grandvalira","Soldeu-Pas de la CasaGrau RoigEl TarterCanilloEncamp Grandvalira"
"Laax-Flims-Falera","Laax-Flims-Falera"
"Vars-Risoul-La Foret Blanche","Vars-Risoul-La Foret Blanche"
"Le Grand Domaine-Valmorel-Doucy-Celliers-St Francois Longchamp","Le Grand Domaine-Valmorel-Doucy-Celliers-St Francois Longchamp"
"Galibier Thabor-Valmeinier-Valloire","Galibier Thabor-Valmeinier-Valloire"
"Zillertal Arena-Zell am Ziller-Gerlos-Konigsleiten-Hochkrimml","Zillertal Arena-Zell am Ziller-Gerlos-Konigsleiten-Hochkrimml"
"La Molina-Masella-Alp2500","La Molina-Masella-Alp2500"
"Lake Louise","Lake Louise"
"Auron-Saint-Etienne-de-Tinee-","Auron-Saint-Etienne-de-Tinee-"
"Powder Mountain","Powder Mountain"
"Keystone","Keystone"
"Alta Badia","Alta Badia"
"Killington","Killington"
"Copper Mountain","Copper Mountain"
"La Clusaz-Manigod","La Clusaz-Manigod"
